날짜,종가,전일비,시가,고가,저가,거래량
2023.06.05,71700,500,72700,72700,71400,12622345
2023.06.02,72200,1300,71700,72200,71600,12161798
2023.06.01,70900,500,70900,71600,70600,14669296
2023.05.31,71400,900,72400,72500,71000,25666087
2023.05.30,72300,2000,71300,72300,71200,27476897
2023.05.26,70300,1500,69800,70400,69500,19549511
2023.05.25,68800,300,69900,70000,68700,14231160
2023.05.24,68500,100,68100,68700,68000,8192896
2023.05.23,68400,100,68500,68700,68100,8561643
2023.05.22,68500,100,68400,69000,68000,14470308
2023.05.19,68400,2200,67800,68400,67500,20349345
2023.05.18,66200,1200,66000,66200,65700,14431704
2023.05.17,65000,400,65900,65900,64800,10745504
2023.05.16,65400,900,65800,65900,65300,12334657
2023.05.15,64500,400,64100,64600,63900,8172021
2023.05.12,64100,100,63700,64600,63600,8693913
2023.05.11,64200,400,64700,65100,64200,11648905
2023.05.10,64600,700,65500,65500,64300,13057727
2023.05.09,65300,600,65800,65800,65100,9366861
2023.05.08,65900,800,66300,66300,65400,9405365
2023.05.04,65100,300,65600,65700,64700,9791064
2023.05.03,65400,300,65100,65600,64900,8876749
2023.05.02,65700,200,66000,66300,65100,14396948
2023.04.28,65500,900,65200,65900,65000,19699481
2023.04.27,64600,500,64100,65000,63300,14779601
2023.04.26,64100,500,63600,64300,63300,12664541
2023.04.25,63600,1600,65300,65400,63400,16193271
2023.04.24,65200,500,65300,65700,64800,12986581
2023.04.21,65700,400,65800,65900,65400,10538622
2023.04.20,65300,200,65100,65300,64600,9501169
2023.04.19,65500,100,65500,65800,65300,10255985
2023.04.18,65600,300,65900,66000,64800,14802060
2023.04.17,65300,200,65000,65600,64700,13486618
2023.04.14,65100,1000,66600,66600,65000,16176490
2023.04.13,66100,100,65600,66100,65400,15091022
2023.04.12,66000,100,65800,66200,65300,15021313
2023.04.11,65900,200,66200,66200,65400,16323183
2023.04.10,65700,700,64800,66300,64700,18777166
2023.04.07,65000,2700,63800,65200,63800,27476120
2023.04.06,62300,1600,63500,63600,62300,14992747
2023.04.05,63900,300,63700,64000,63400,9176149
2023.04.04,63600,500,63400,63800,62800,11120514
2023.04.03,63100,900,64000,64000,63000,11973133
2023.03.31,64000,800,64000,64000,63700,14094479
2023.03.30,63200,500,63700,63700,63100,15684377
2023.03.29,62700,200,62500,62700,62200,11216008
2023.03.28,62900,800,62400,62900,62100,11614118
2023.03.27,62100,900,62600,62800,62000,11039331
2023.03.24,63000,700,62700,63300,62300,18278602
2023.03.23,62300,1200,60600,62300,60600,15381057
2023.03.22,61100,800,61000,61200,60500,8978591
2023.03.21,60300,100,60500,60700,60100,8318514
2023.03.20,60200,1100,61100,61200,60200,9618009
2023.03.17,61300,1400,60800,61300,60600,14090110
2023.03.16,59900,100,59200,60200,59100,10611939
2023.03.15,59800,800,60000,60300,59600,10482149
2023.03.14,59000,1000,59400,59500,59000,12147346
2023.03.13,60000,500,59900,60200,59300,12779724
2023.03.10,59500,600,59500,59700,59100,11902471
2023.03.09,60100,200,60500,60800,59900,14334499
2023.03.08,60300,400,60100,60500,59900,14161857
2023.03.07,60700,800,61400,61400,60700,11473280
2023.03.06,61500,1000,61100,61600,60800,13630602
2023.03.03,60500,300,61000,61200,60500,10711405
2023.03.02,60800,200,60900,61800,60500,13095682
2023.02.28,60600,100,60800,61400,60500,13715861
2023.02.27,60500,800,60800,60800,60200,11155697
2023.02.24,61300,700,62300,62600,61300,10308143
2023.02.23,62000,900,61700,62500,61500,13047099
2023.02.22,61100,1000,61500,61800,61000,11959088
2023.02.21,62100,600,62700,62800,62000,7665046
2023.02.20,62700,100,62900,63000,61800,12908073
2023.02.17,62600,1100,62900,63300,62400,10791265
2023.02.16,63700,1500,62500,63700,62400,13798831
2023.02.15,62200,1000,63900,63900,62000,13208103
2023.02.14,63200,300,63600,63900,63200,9126664
2023.02.13,62900,100,62900,63000,62300,10730362
2023.02.10,62800,200,62600,63000,62400,9382576
2023.02.09,63000,100,63000,63300,62300,12164865
2023.02.08,63100,1200,62800,63300,62400,12243125
2023.02.07,61900,300,61900,62500,61600,14491039
2023.02.06,61600,2200,62800,63000,61600,15529356
2023.02.03,63800,300,63900,64000,63000,15194598
2023.02.02,63500,1700,63200,63900,62600,23285983
